Pin title,Pin description,Website link,Media URL,Board ID,Alt text
Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs,"40 editable bright & airy sage real estate templates — Instagram posts, stories, flyers & business cards. Edit in free Canva. Tap to shop on Etsy.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/bright_01_bundle.png,<PINTEREST_BOARD_ID>,Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs
Real Estate Transaction Checklists | 12 Editable Realtor Templates,"12 editable bright & airy sage real estate checklists — pre-listing to closing day, buyer & seller. Free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/bright_02_checklist.png,<PINTEREST_BOARD_ID>,Real Estate Transaction Checklists | 12 Editable Realtor Templates
Real Estate Instagram Templates | 12 Realtor Canva Feed Posts,"12 editable bright & airy sage feed posts — just listed, sold & open house. Swap your photo & price. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/bright_03_feed.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Templates | 12 Realtor Canva Feed Posts
Real Estate Instagram Highlight Covers | 10 Editable Canva Icons,10 editable bright & airy sage IG story highlight covers for realtors. Free Canva. Tap to shop.,<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/bright_04_highlights.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Highlight Covers | 10 Editable Canva Icons
Realtor Business Card Template | Editable Canva,"Double-sided, print-ready bright & airy sage realtor business card. Edit in free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/bright_05_bizcard.png,<PINTEREST_BOARD_ID>,Realtor Business Card Template | Editable Canva
Open House Flyer Template | Real Estate Marketing Kit,"Editable bright & airy sage open house flyer, feature sheet & social posts. Free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/bright_06_openhouse.png,<PINTEREST_BOARD_ID>,Open House Flyer Template | Real Estate Marketing Kit
Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs,"40 editable bright & airy sage real estate templates — Instagram posts, stories, flyers & business cards. Edit in free Canva. Tap to shop on Etsy.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/bright_07_bundle_b.png,<PINTEREST_BOARD_ID>,Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs
Real Estate Transaction Checklists | 12 Editable Realtor Templates,"12 editable bright & airy sage real estate checklists — pre-listing to closing day, buyer & seller. Free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/bright_08_checklist_b.png,<PINTEREST_BOARD_ID>,Real Estate Transaction Checklists | 12 Editable Realtor Templates
Real Estate Instagram Templates | 12 Realtor Canva Feed Posts,"12 editable bright & airy sage feed posts — just listed, sold & open house. Swap your photo & price. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/bright_09_feed_b.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Templates | 12 Realtor Canva Feed Posts
Real Estate Instagram Highlight Covers | 10 Editable Canva Icons,10 editable bright & airy sage IG story highlight covers for realtors. Free Canva. Tap to shop.,<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/bright_10_highlights_b.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Highlight Covers | 10 Editable Canva Icons
Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs,"40 editable coastal plum real estate templates — Instagram posts, stories, flyers & business cards. Edit in free Canva. Tap to shop on Etsy.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/coastal_01_bundle.png,<PINTEREST_BOARD_ID>,Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs
Real Estate Transaction Checklists | 12 Editable Realtor Templates,"12 editable coastal plum real estate checklists — pre-listing to closing day, buyer & seller. Free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/coastal_02_checklist.png,<PINTEREST_BOARD_ID>,Real Estate Transaction Checklists | 12 Editable Realtor Templates
Real Estate Instagram Templates | 12 Realtor Canva Feed Posts,"12 editable coastal plum feed posts — just listed, sold & open house. Swap your photo & price. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/coastal_03_feed.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Templates | 12 Realtor Canva Feed Posts
Real Estate Instagram Highlight Covers | 10 Editable Canva Icons,10 editable coastal plum IG story highlight covers for realtors. Free Canva. Tap to shop.,<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/coastal_04_highlights.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Highlight Covers | 10 Editable Canva Icons
Realtor Business Card Template | Editable Canva,"Double-sided, print-ready coastal plum realtor business card. Edit in free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/coastal_05_bizcard.png,<PINTEREST_BOARD_ID>,Realtor Business Card Template | Editable Canva
Open House Flyer Template | Real Estate Marketing Kit,"Editable coastal plum open house flyer, feature sheet & social posts. Free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/coastal_06_openhouse.png,<PINTEREST_BOARD_ID>,Open House Flyer Template | Real Estate Marketing Kit
Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs,"40 editable coastal plum real estate templates — Instagram posts, stories, flyers & business cards. Edit in free Canva. Tap to shop on Etsy.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/coastal_07_bundle_b.png,<PINTEREST_BOARD_ID>,Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs
Real Estate Transaction Checklists | 12 Editable Realtor Templates,"12 editable coastal plum real estate checklists — pre-listing to closing day, buyer & seller. Free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/coastal_08_checklist_b.png,<PINTEREST_BOARD_ID>,Real Estate Transaction Checklists | 12 Editable Realtor Templates
Real Estate Instagram Templates | 12 Realtor Canva Feed Posts,"12 editable coastal plum feed posts — just listed, sold & open house. Swap your photo & price. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/coastal_09_feed_b.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Templates | 12 Realtor Canva Feed Posts
Real Estate Instagram Highlight Covers | 10 Editable Canva Icons,10 editable coastal plum IG story highlight covers for realtors. Free Canva. Tap to shop.,<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/coastal_10_highlights_b.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Highlight Covers | 10 Editable Canva Icons
Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs,"40 editable luxury black & gold real estate templates — Instagram posts, stories, flyers & business cards. Edit in free Canva. Tap to shop on Etsy.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/luxe_01_bundle.png,<PINTEREST_BOARD_ID>,Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs
Real Estate Transaction Checklists | 12 Editable Realtor Templates,"12 editable luxury black & gold real estate checklists — pre-listing to closing day, buyer & seller. Free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/luxe_02_checklist.png,<PINTEREST_BOARD_ID>,Real Estate Transaction Checklists | 12 Editable Realtor Templates
Real Estate Instagram Templates | 12 Realtor Canva Feed Posts,"12 editable luxury black & gold feed posts — just listed, sold & open house. Swap your photo & price. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/luxe_03_feed.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Templates | 12 Realtor Canva Feed Posts
Real Estate Instagram Highlight Covers | 10 Editable Canva Icons,10 editable luxury black & gold IG story highlight covers for realtors. Free Canva. Tap to shop.,<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/luxe_04_highlights.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Highlight Covers | 10 Editable Canva Icons
Realtor Business Card Template | Editable Canva,"Double-sided, print-ready luxury black & gold realtor business card. Edit in free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/luxe_05_bizcard.png,<PINTEREST_BOARD_ID>,Realtor Business Card Template | Editable Canva
Open House Flyer Template | Real Estate Marketing Kit,"Editable luxury black & gold open house flyer, feature sheet & social posts. Free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/luxe_06_openhouse.png,<PINTEREST_BOARD_ID>,Open House Flyer Template | Real Estate Marketing Kit
Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs,"40 editable luxury black & gold real estate templates — Instagram posts, stories, flyers & business cards. Edit in free Canva. Tap to shop on Etsy.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/luxe_07_bundle_b.png,<PINTEREST_BOARD_ID>,Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs
Real Estate Transaction Checklists | 12 Editable Realtor Templates,"12 editable luxury black & gold real estate checklists — pre-listing to closing day, buyer & seller. Free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/luxe_08_checklist_b.png,<PINTEREST_BOARD_ID>,Real Estate Transaction Checklists | 12 Editable Realtor Templates
Real Estate Instagram Templates | 12 Realtor Canva Feed Posts,"12 editable luxury black & gold feed posts — just listed, sold & open house. Swap your photo & price. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/luxe_09_feed_b.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Templates | 12 Realtor Canva Feed Posts
Real Estate Instagram Highlight Covers | 10 Editable Canva Icons,10 editable luxury black & gold IG story highlight covers for realtors. Free Canva. Tap to shop.,<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/luxe_10_highlights_b.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Highlight Covers | 10 Editable Canva Icons
Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs,"40 editable modern cobalt real estate templates — Instagram posts, stories, flyers & business cards. Edit in free Canva. Tap to shop on Etsy.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/metro_01_bundle.png,<PINTEREST_BOARD_ID>,Real Estate Marketing Templates Bundle | 40 Realtor Canva Designs
Real Estate Transaction Checklists | 12 Editable Realtor Templates,"12 editable modern cobalt real estate checklists — pre-listing to closing day, buyer & seller. Free Canva. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/metro_02_checklist.png,<PINTEREST_BOARD_ID>,Real Estate Transaction Checklists | 12 Editable Realtor Templates
Real Estate Instagram Templates | 12 Realtor Canva Feed Posts,"12 editable modern cobalt feed posts — just listed, sold & open house. Swap your photo & price. Tap to shop.",<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/metro_03_feed.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Templates | 12 Realtor Canva Feed Posts
Real Estate Instagram Highlight Covers | 10 Editable Canva Icons,10 editable modern cobalt IG story highlight covers for realtors. Free Canva. Tap to shop.,<ETSY_LISTING_URL>,https://raw.githubusercontent.com/blacklizardint/Canva-Templates/main/pins-v3/metro_04_highlights.png,<PINTEREST_BOARD_ID>,Real Estate Instagram Highlight Covers | 10 Editable Canva Icons
